,text,label
0,I would like to start a recipe,start
1,I would like to start a recipe,start
2,I would like to start a recipe,start
3,I would like to start a recipe,start
4,I would like to start a recipe,start
5,I would like to start a recipe,start
6,I would like to start a recipe,start
7,I would like to start a recipe,start
8,I would like to start a recipe,start
9,I would like to start a recipe,start
10,I would like to start a recipe,start
11,I would like to start a recipe,start
12,I would like to start a recipe,start
13,I would like to start a recipe,start
14,I would like to start a recipe,start
15,I would like to start a recipe,start
16,I would like to start a recipe,start
17,I would like to start a recipe,start
18,I would like to start a recipe,start
19,I would like to start a recipe,start
20,I would like to start a recipe,start
21,I would like to start a recipe,start
22,I would like to start a recipe,start
23,I would like to start a recipe,start
24,I would like to start a recipe,start
25,I would like to start a recipe,start
26,I would like to start a recipe,start
27,I would like to start a recipe,start
28,I would like to start a recipe,start
29,I would like to start a recipe,start
30,I would like to start a recipe,start
31,I would like to start a recipe,start
32,I would like to start a recipe,start
33,I would like to start a recipe,start
34,I would like to start a recipe,start
35,I would like to start a recipe,start
36,I would like to start a recipe,start
37,I would like to start a recipe,start
38,I would like to start a recipe,start
39,I would like to start a recipe,start
40,I would like to start a recipe,start
41,I would like to start a recipe,start
42,I would like to start a recipe,start
43,start a recipe,start
44,start a recipe,start
45,start a recipe,start
46,start a recipe,start
47,start a recipe,start
48,start a recipe,start
49,start a recipe,start
50,start a recipe,start
51,start a recipe,start
52,start a recipe,start
53,start a recipe,start
54,start a recipe,start
55,start a recipe,start
56,start a recipe,start
57,start a recipe,start
58,start a recipe,start
59,start a recipe,start
60,start a recipe,start
61,start a recipe,start
62,start a recipe,start
63,start a recipe,start
64,start a recipe,start
65,start a recipe,start
66,start a recipe,start
67,start a recipe,start
68,start a recipe,start
69,start a recipe,start
70,start a recipe,start
71,start a recipe,start
72,start a recipe,start
73,start a recipe,start
74,start a recipe,start
75,start a recipe,start
76,start a recipe,start
77,start a recipe,start
78,start a recipe,start
79,start a recipe,start
80,start a recipe,start
81,start a recipe,start
82,start a recipe,start
83,start a recipe,start
84,start a recipe,start
85,start a recipe,start
86,lets start a recipe,start
87,lets start a recipe,start
88,lets start a recipe,start
89,lets start a recipe,start
90,lets start a recipe,start
91,lets start a recipe,start
92,lets start a recipe,start
93,lets start a recipe,start
94,lets start a recipe,start
95,lets start a recipe,start
96,lets start a recipe,start
97,lets start a recipe,start
98,lets start a recipe,start
99,lets start a recipe,start
100,lets start a recipe,start
101,lets start a recipe,start
102,lets start a recipe,start
103,lets start a recipe,start
104,lets start a recipe,start
105,lets start a recipe,start
106,lets start a recipe,start
107,lets start a recipe,start
108,lets start a recipe,start
109,lets start a recipe,start
110,lets start a recipe,start
111,lets start a recipe,start
112,lets start a recipe,start
113,lets start a recipe,start
114,lets start a recipe,start
115,lets start a recipe,start
116,lets start a recipe,start
117,lets start a recipe,start
118,lets start a recipe,start
119,lets start a recipe,start
120,lets start a recipe,start
121,lets start a recipe,start
122,lets start a recipe,start
123,lets start a recipe,start
124,lets start a recipe,start
125,lets start a recipe,start
126,lets start a recipe,start
127,lets start a recipe,start
128,lets start a recipe,start
129,begin recipe,start
130,begin recipe,start
131,begin recipe,start
132,begin recipe,start
133,begin recipe,start
134,begin recipe,start
135,begin recipe,start
136,begin recipe,start
137,begin recipe,start
138,begin recipe,start
139,begin recipe,start
140,begin recipe,start
141,begin recipe,start
142,begin recipe,start
143,begin recipe,start
144,begin recipe,start
145,begin recipe,start
146,begin recipe,start
147,begin recipe,start
148,begin recipe,start
149,begin recipe,start
150,begin recipe,start
151,begin recipe,start
152,begin recipe,start
153,begin recipe,start
154,begin recipe,start
155,begin recipe,start
156,begin recipe,start
157,begin recipe,start
158,begin recipe,start
159,begin recipe,start
160,begin recipe,start
161,begin recipe,start
162,begin recipe,start
163,begin recipe,start
164,begin recipe,start
165,begin recipe,start
166,begin recipe,start
167,begin recipe,start
168,begin recipe,start
169,begin recipe,start
170,begin recipe,start
171,begin recipe,start
172,lets make something,start
173,lets make something,start
174,lets make something,start
175,lets make something,start
176,lets make something,start
177,lets make something,start
178,lets make something,start
179,lets make something,start
180,lets make something,start
181,lets make something,start
182,lets make something,start
183,lets make something,start
184,lets make something,start
185,lets make something,start
186,lets make something,start
187,lets make something,start
188,lets make something,start
189,lets make something,start
190,lets make something,start
191,lets make something,start
192,lets make something,start
193,lets make something,start
194,lets make something,start
195,lets make something,start
196,lets make something,start
197,lets make something,start
198,lets make something,start
199,lets make something,start
200,lets make something,start
201,lets make something,start
202,lets make something,start
203,lets make something,start
204,lets make something,start
205,lets make something,start
206,lets make something,start
207,lets make something,start
208,lets make something,start
209,lets make something,start
210,lets make something,start
211,lets make something,start
212,lets make something,start
213,lets make something,start
214,lets make something,start
215,lets make a recipe,start
216,lets make a recipe,start
217,lets make a recipe,start
218,lets make a recipe,start
219,lets make a recipe,start
220,lets make a recipe,start
221,lets make a recipe,start
222,lets make a recipe,start
223,lets make a recipe,start
224,lets make a recipe,start
225,lets make a recipe,start
226,lets make a recipe,start
227,lets make a recipe,start
228,lets make a recipe,start
229,lets make a recipe,start
230,lets make a recipe,start
231,lets make a recipe,start
232,lets make a recipe,start
233,lets make a recipe,start
234,lets make a recipe,start
235,lets make a recipe,start
236,lets make a recipe,start
237,lets make a recipe,start
238,lets make a recipe,start
239,lets make a recipe,start
240,lets make a recipe,start
241,lets make a recipe,start
242,lets make a recipe,start
243,lets make a recipe,start
244,lets make a recipe,start
245,lets make a recipe,start
246,lets make a recipe,start
247,lets make a recipe,start
248,lets make a recipe,start
249,lets make a recipe,start
250,lets make a recipe,start
251,lets make a recipe,start
252,lets make a recipe,start
253,lets make a recipe,start
254,lets make a recipe,start
255,lets make a recipe,start
256,lets make a recipe,start
257,lets make a recipe,start
258,I am ready,start
259,I am ready,start
260,I am ready,start
261,I am ready,start
262,I am ready,start
263,I am ready,start
264,I am ready,start
265,I am ready,start
266,I am ready,start
267,I am ready,start
268,I am ready,start
269,I am ready,start
270,I am ready,start
271,I am ready,start
272,I am ready,start
273,I am ready,start
274,I am ready,start
275,I am ready,start
276,I am ready,start
277,I am ready,start
278,I am ready,start
279,I am ready,start
280,I am ready,start
281,I am ready,start
282,I am ready,start
283,I am ready,start
284,I am ready,start
285,I am ready,start
286,I am ready,start
287,I am ready,start
288,I am ready,start
289,I am ready,start
290,I am ready,start
291,I am ready,start
292,I am ready,start
293,I am ready,start
294,I am ready,start
295,I am ready,start
296,I am ready,start
297,I am ready,start
298,I am ready,start
299,I am ready,start
300,What are the ingredients,show
301,What are the ingredients,show
302,What are the ingredients,show
303,What are the ingredients,show
304,What are the ingredients,show
305,What are the ingredients,show
306,What are the ingredients,show
307,What are the ingredients,show
308,What are the ingredients,show
309,What are the ingredients,show
310,What are the ingredients,show
311,What are the ingredients,show
312,What are the ingredients,show
313,What are the ingredients,show
314,What are the ingredients,show
315,What are the ingredients,show
316,What are the ingredients,show
317,What are the ingredients,show
318,What are the ingredients,show
319,What are the ingredients,show
320,What are the ingredients,show
321,What are the ingredients,show
322,What are the ingredients,show
323,What are the ingredients,show
324,What are the ingredients,show
325,What are the ingredients,show
326,show me the ingredients,show
